Time (s),Speed (m/s)
25.2,15.7447
25.22,15.7501
25.24,15.7555
25.26,15.7608
25.28,15.7662
25.3,15.7716
25.32,15.7769
25.34,15.7823
25.36,15.7877
25.38,15.793
25.4,15.7984
25.42,15.8038
25.44,15.8091
25.46,15.8145
25.48,15.8199
25.5,15.8252
25.52,15.8306
25.54,15.8359
25.56,15.8413
25.58,15.8467
25.6,15.852
25.62,15.8574
25.64,15.8628
25.66,15.8681
25.68,15.8735
25.7,15.8789
25.72,15.8842
25.74,15.8896
25.76,15.895
25.78,15.9003
25.8,15.9057
25.82,15.911
25.84,15.9164
25.86,15.9218
25.88,15.9271
25.9,15.9325
25.92,15.9379
25.94,15.9432
25.96,15.9486
25.98,15.954
26,15.9593
26.02,15.9611
26.04,15.9629
26.06,15.9647
26.08,15.9665
26.1,15.9683
26.12,15.9701
26.14,15.9718
26.16,15.9736
26.18,15.9754
26.2,15.9772
26.22,15.979
26.24,15.9808
26.26,15.9826
26.28,15.9844
26.3,15.9862
26.32,15.9879
26.34,15.9897
26.36,15.9915
26.38,15.9933
26.4,15.9951
26.42,15.9969
26.44,15.9987
26.46,16.0005
26.48,16.0022
26.5,16.004
26.52,16.0058
26.54,16.0076
26.56,16.0094
26.58,16.0112
26.6,16.013
26.62,16.0148
26.64,16.0165
26.66,16.0183
26.68,16.0201
26.7,16.0219
26.72,16.0237
26.74,16.0255
26.76,16.0273
26.78,16.0291
26.8,16.0309
26.82,16.0326
26.84,16.0344
26.86,16.0362
26.88,16.038
26.9,16.0398
26.92,16.0416
26.94,16.0434
26.96,16.0452
26.98,16.0469
27,16.0487
27.02,16.0478
27.04,16.0469
27.06,16.0461
27.08,16.0452
27.1,16.0443
27.12,16.0434
27.14,16.0425
27.16,16.0416
27.18,16.0407
27.2,16.0398
27.22,16.0389
27.24,16.038
27.26,16.0371
27.28,16.0362
27.3,16.0353
27.32,16.0344
27.34,16.0335
27.36,16.0326
27.38,16.0317
27.4,16.0309
27.42,16.03
27.44,16.0291
27.46,16.0282
27.48,16.0273
27.5,16.0264
27.52,16.0255
27.54,16.0246
27.56,16.0237
27.58,16.0228
27.6,16.0219
27.62,16.021
27.64,16.0201
27.66,16.0192
27.68,16.0183
27.7,16.0174
27.72,16.0165
27.74,16.0157
27.76,16.0148
27.78,16.0139
27.8,16.013
27.82,16.0121
27.84,16.0112
27.86,16.0103
27.88,16.0094
27.9,16.0085
27.92,16.0076
27.94,16.0067
27.96,16.0058
27.98,16.0049
28,16.004
28.02,15.9996
28.04,15.9951
28.06,15.9906
28.08,15.9862
28.1,15.9817
28.12,15.9772
28.14,15.9727
28.16,15.9683
28.18,15.9638
28.2,15.9593
28.22,15.9549
28.24,15.9504
28.26,15.9459
28.28,15.9414
28.3,15.937
28.32,15.9325
28.34,15.928
28.36,15.9236
28.38,15.9191
28.4,15.9146
28.42,15.9102
28.44,15.9057
28.46,15.9012
28.48,15.8967
28.5,15.8923
28.52,15.8878
28.54,15.8833
28.56,15.8789
28.58,15.8744
28.6,15.8699
28.62,15.8654
28.64,15.861
28.66,15.8565
28.68,15.852
28.7,15.8476
28.72,15.8431
